State,Year,Count
Alabama,2013,2
Alabama,2004,1
Alabama,2006,1
Alabama,2011,4
Alabama,2015,2
Alabama,2012,4
Alabama,2014,3
Alabama,2016,1
Alabama,2000,1
Alabama,2009,1
Alabama,1999,1
Alabama,1996,1
Alabama,2001,1
Arkansas,1995,1
Arkansas,2011,3
Arkansas,2014,5
Arkansas,2010,3
Arkansas,2013,4
Arkansas,2009,2
Arkansas,2012,3
Arkansas,2008,1
Arkansas,2015,4
Arkansas,2002,1
Arkansas,2005,1
Indiana,2010,11
Indiana,2012,15
Indiana,1995,2
Indiana,2011,8
Indiana,1998,1
Indiana,2003,3
Indiana,2006,7
Indiana,2013,12
Indiana,2002,2
Indiana,2009,6
Indiana,2015,9
Indiana,2016,1
Indiana,2014,6
Indiana,1996,1
Indiana,2001,2
Indiana,2000,1
Indiana,2005,5
Indiana,2008,1
Indiana,1972,1
Indiana,2004,1
Indiana,1994,1
Indiana,2007,1
California,1980,4
California,2010,547
California,2013,940
California,2014,913
California,1998,74
California,2015,603
California,2000,105
California,1997,36
California,1993,5
California,1976,1
California,2004,162
California,1982,5
California,2005,201
California,2003,112
California,2007,297
California,2006,264
California,2009,377
California,1983,7
California,2008,304
California,2012,891
California,2011,700
California,2001,90
California,2002,90
California,1996,41
California,1995,25
California,2016,238
California,1989,11
California,1999,118
California,1986,5
California,1968,2
California,1973,1
California,1984,4
California,1942,1
California,1994,9
California,1992,11
California,1990,6
California,1977,1
California,2017,30
California,1987,4
California,1965,1
California,1972,1
California,1978,1
California,1979,3
California,1981,2
California,1988,2
California,1991,2
Iowa,2014,10
Iowa,2016,2
Iowa,2008,1
Iowa,2007,1
Iowa,2012,9
Iowa,2015,1
Iowa,2013,2
Iowa,2000,1
Iowa,1997,1
Iowa,2010,1
Iowa,1996,1
Iowa,2009,2
Iowa,2011,1
Iowa,2004,1
Kansas,2011,9
Kansas,2015,1
Kansas,2010,6
Kansas,1998,1
Kansas,2014,2
Kansas,2005,2
Kansas,2013,6
Kansas,2008,3
Kansas,1989,1
Kansas,2007,1
Kansas,2012,4
Kansas,1899,1
Kansas,2001,1
Kansas,2009,1
Kansas,2006,2
Kansas,1999,1
Kansas,1931,1
Kentucky,2007,1
Kentucky,2008,2
Kentucky,1999,1
Kentucky,2013,9
Kentucky,2010,6
Kentucky,2009,1
Kentucky,2012,8
Kentucky,2015,6
Kentucky,2014,5
Kentucky,2011,5
Kentucky,2000,2
Louisiana,2014,3
Louisiana,2010,4
Louisiana,2015,2
Louisiana,2006,2
Louisiana,2011,3
Louisiana,2012,4
Louisiana,2013,3
Louisiana,2009,1
Louisiana,2007,1
Louisiana,2003,1
Louisiana,2000,1
Louisiana,2008,1
Maine,2012,2
Maine,1998,1
Maine,2007,1
Maine,2010,2
Maine,2011,2
Maine,2016,1
Maine,2008,1
Maine,2006,1
Maine,2014,2
Maine,2009,1
Maryland,2000,8
Maryland,2010,18
Maryland,2015,13
Maryland,2012,23
Maryland,2011,21
Maryland,2003,4
Maryland,2014,27
Maryland,2013,24
Maryland,1997,2
Maryland,2008,9
Maryland,2009,11
Maryland,2007,11
Maryland,1999,5
Maryland,1998,4
Maryland,2001,4
Maryland,2016,7
Maryland,2006,11
Maryland,2004,4
Maryland,1992,2
Maryland,1956,1
Maryland,2002,8
Maryland,2005,3
Maryland,1990,2
Maryland,1996,4
Maryland,1989,1
Maryland,1983,1
Maryland,1987,1
Massachusetts,2014,104
Massachusetts,2008,77
Massachusetts,2013,109
Massachusetts,2010,94
Massachusetts,2012,121
Massachusetts,2007,63
Massachusetts,2015,80
Massachusetts,2009,78
Massachusetts,2004,35
Massachusetts,1998,17
Massachusetts,2011,101
Massachusetts,2000,31
Massachusetts,1997,13
Massachusetts,2002,30
Massachusetts,1993,4
Massachusetts,1999,24
Massachusetts,2005,38
Massachusetts,1994,4
Massachusetts,2006,53
Massachusetts,2001,29
Massachusetts,2016,16
Massachusetts,1987,1
Massachusetts,1991,4
Massachusetts,2003,21
Massachusetts,1992,4
Massachusetts,1960,1
Massachusetts,1990,3
Massachusetts,1983,3
Massachusetts,1996,14
Massachusetts,2017,5
Massachusetts,1989,3
Massachusetts,1985,1
Massachusetts,1979,1
Massachusetts,1995,1
Massachusetts,1984,1
Massachusetts,1986,1
Massachusetts,1973,1
Massachusetts,1978,1
Massachusetts,1981,1
Massachusetts,1980,1
Massachusetts,1969,1
Michigan,2015,10
Michigan,2014,19
Michigan,2010,9
Michigan,2011,15
Michigan,2013,14
Michigan,2007,6
Michigan,2009,11
Michigan,2012,15
Michigan,2016,2
Michigan,1990,1
Michigan,2000,4
Michigan,1995,2
Michigan,1994,1
Michigan,1992,2
Michigan,2005,6
Michigan,2008,6
Michigan,2017,2
Michigan,2006,2
Michigan,2002,1
Michigan,2004,3
Michigan,1954,1
Michigan,2001,1
Michigan,1996,1
Michigan,1914,1
Michigan,2003,1
Michigan,1999,1
Colorado,2012,54
Colorado,2011,32
Colorado,2006,15
Colorado,2001,8
Colorado,2000,6
Colorado,2002,11
Colorado,2010,35
Colorado,2007,21
Colorado,2014,38
Colorado,2015,39
Colorado,2009,31
Colorado,2004,6
Colorado,2005,14
Colorado,1992,1
Colorado,2016,11
Colorado,2013,45
Colorado,1998,5
Colorado,2008,19
Colorado,2003,5
Colorado,1999,5
Colorado,1995,2
Colorado,1980,1
Colorado,1997,3
Colorado,1991,1
Colorado,1993,1
Colorado,1952,1
Colorado,1994,1
Colorado,1996,1
Colorado,1989,1
Colorado,1987,1
Minnesota,2008,15
Minnesota,2009,10
Minnesota,2012,18
Minnesota,2013,10
Minnesota,2010,15
Minnesota,2015,5
Minnesota,2005,4
Minnesota,1997,2
Minnesota,2002,5
Minnesota,2014,9
Minnesota,2011,10
Minnesota,1995,2
Minnesota,1988,1
Minnesota,2006,4
Minnesota,2017,1
Minnesota,1999,4
Minnesota,2007,5
Minnesota,1993,1
Minnesota,2000,5
Minnesota,1949,1
Minnesota,2003,2
Minnesota,1996,2
Minnesota,2001,3
Minnesota,2016,5
Minnesota,2004,1
Minnesota,1998,1
Mississippi,2013,1
Mississippi,2003,1
Missouri,1998,1
Missouri,2014,22
Missouri,2009,7
Missouri,2015,12
Missouri,2003,2
Missouri,2010,11
Missouri,2007,3
Missouri,2011,18
Missouri,2016,7
Missouri,2012,24
Missouri,2013,14
Missouri,2017,1
Missouri,1990,1
Missouri,2008,8
Missouri,2006,3
Missouri,2001,1
Missouri,1999,3
Missouri,2002,1
Missouri,2000,2
Missouri,2004,4
Montana,2009,1
Montana,2013,1
Montana,2010,3
Montana,2011,1
Montana,2008,2
Montana,1997,1
Montana,2015,1
Montana,2003,1
Montana,2007,1
Montana,1954,1
Nebraska,2014,10
Nebraska,2012,7
Nebraska,2009,2
Nebraska,1995,1
Nebraska,2013,5
Nebraska,1989,1
Nebraska,2011,3
Nebraska,2001,1
Nebraska,2015,3
Nebraska,2006,1
Nebraska,1997,1
Nebraska,2008,2
Nebraska,2000,1
Nebraska,2010,1
Nevada,2011,13
Nevada,2014,14
Nevada,2010,7
Nevada,2002,3
Nevada,2012,10
Nevada,2013,19
Nevada,2015,3
Nevada,2009,3
Nevada,2005,1
Nevada,2008,5
Nevada,1965,1
Nevada,1995,1
Nevada,1999,1
Nevada,2000,1
Nevada,2006,1
Nevada,2017,1
New Hampshire,2015,2
New Hampshire,2009,2
New Hampshire,2011,5
New Hampshire,2010,2
New Hampshire,2003,1
New Hampshire,1996,1
New Hampshire,1999,2
New Hampshire,2013,2
New Hampshire,2008,4
New Hampshire,1998,1
New Hampshire,2004,1
New Hampshire,2007,1
New Hampshire,2014,5
New Hampshire,2005,1
New Hampshire,1993,1
New Hampshire,1984,1
New Hampshire,2006,1
New Hampshire,2012,3
New Hampshire,2000,2
New Hampshire,2001,1
New Jersey,1994,1
New Jersey,1891,1
New Jersey,1998,4
New Jersey,2001,14
New Jersey,2004,8
New Jersey,2005,12
New Jersey,1949,1
New Jersey,2014,14
New Jersey,2015,14
New Jersey,2002,2
New Jersey,2009,16
New Jersey,2006,10
New Jersey,2007,13
New Jersey,2013,16
New Jersey,2000,10
New Jersey,1979,1
New Jersey,1996,1
New Jersey,2016,5
New Jersey,2012,17
New Jersey,2008,4
New Jersey,1993,4
New Jersey,2003,3
New Jersey,1999,5
New Jersey,1982,1
New Jersey,2010,13
New Jersey,2017,2
New Jersey,2011,16
New Jersey,1983,1
New Jersey,1997,3
New Jersey,1986,1
New Jersey,1990,1
New Jersey,1991,1
New Jersey,1995,1
New Mexico,2002,1
New Mexico,2014,2
New Mexico,2009,2
New Mexico,2015,1
New Mexico,2010,1
New Mexico,1988,1
New Mexico,2006,3
New Mexico,2011,2
New Mexico,2004,1
New Mexico,2005,2
New Mexico,2007,1
New Mexico,2016,1
New Mexico,2001,1
New Mexico,1992,1
New York,2006,50
New York,2012,284
New York,2014,308
New York,2011,228
New York,2007,73
New York,1996,7
New York,1917,1
New York,2009,114
New York,2002,19
New York,2015,214
New York,2013,312
New York,1979,1
New York,2005,44
New York,2000,22
New York,1980,2
New York,2010,180
New York,2008,72
New York,2017,12
New York,1851,2
New York,2004,22
New York,2016,76
New York,1998,7
New York,1999,11
New York,1993,3
New York,1997,6
New York,2001,17
New York,1994,4
New York,1992,3
New York,2003,16
New York,1988,4
New York,1990,2
New York,1985,1
New York,1983,2
New York,1991,1
New York,1986,1
New York,1995,2
New York,1969,1
New York,1982,1
Connecticut,1998,3
Connecticut,2003,4
Connecticut,2006,4
Connecticut,1992,1
Connecticut,2011,18
Connecticut,2012,9
Connecticut,2013,13
Connecticut,1985,3
Connecticut,2015,2
Connecticut,1999,3
Connecticut,2008,6
Connecticut,2004,5
Connecticut,2000,6
Connecticut,2009,6
Connecticut,2017,1
Connecticut,2005,3
Connecticut,2007,5
Connecticut,2010,8
Connecticut,1995,2
Connecticut,1982,1
Connecticut,1969,2
Connecticut,1997,5
Connecticut,2014,5
Connecticut,1993,1
Connecticut,1988,1
Connecticut,2001,2
Connecticut,1906,1
Connecticut,1970,1
North Carolina,1984,1
North Carolina,2007,14
North Carolina,2013,28
North Carolina,2010,12
North Carolina,2008,10
North Carolina,2011,21
North Carolina,2014,32
North Carolina,2000,5
North Carolina,1989,2
North Carolina,2012,23
North Carolina,2009,7
North Carolina,1999,4
North Carolina,1997,4
North Carolina,2006,10
North Carolina,1988,1
North Carolina,2003,5
North Carolina,2001,6
North Carolina,2005,8
North Carolina,2017,1
North Carolina,2004,7
North Carolina,1975,1
North Carolina,2015,14
North Carolina,2002,5
North Carolina,1996,2
North Carolina,1992,1
North Carolina,1863,1
North Carolina,1994,1
North Carolina,1993,1
North Carolina,1995,1
North Carolina,2016,1
North Dakota,2013,3
North Dakota,2014,1
North Dakota,2005,1
North Dakota,2011,1
North Dakota,2010,1
North Dakota,2015,1
North Dakota,2006,1
Ohio,1921,1
Ohio,1993,2
Ohio,2008,14
Ohio,2012,33
Ohio,2004,5
Ohio,2010,16
Ohio,1950,1
Ohio,2015,15
Ohio,2011,23
Ohio,1885,1
Ohio,1999,3
Ohio,2000,6
Ohio,2006,8
Ohio,1987,1
Ohio,2009,14
Ohio,2016,4
Ohio,1971,1
Ohio,2007,10
Ohio,1995,1
Ohio,2003,3
Ohio,2014,31
Ohio,1929,1
Ohio,2013,32
Ohio,1997,2
Ohio,1998,1
Ohio,1994,1
Ohio,2001,2
Ohio,2002,1
Ohio,2005,2
Ohio,1992,1
Ohio,1996,2
Oklahoma,2009,3
Oklahoma,2002,1
Oklahoma,2012,5
Oklahoma,2010,2
Oklahoma,2006,1
Oklahoma,2001,2
Oklahoma,1975,1
Oklahoma,2011,3
Oklahoma,2014,3
Oklahoma,2013,6
Oklahoma,2005,1
Oregon,2009,14
Oregon,2002,1
Oregon,2005,3
Oregon,2013,21
Oregon,2006,7
Oregon,2011,14
Oregon,2012,24
Oregon,2007,10
Oregon,2003,4
Oregon,2014,10
Oregon,2000,2
Oregon,2008,6
Oregon,2004,5
Oregon,2016,3
Oregon,1998,1
Oregon,2010,13
Oregon,2001,2
Oregon,2015,6
Oregon,1991,1
Oregon,1997,1
Oregon,1985,1
Oregon,2017,1
Oregon,1999,2
Oregon,1993,1
Pennsylvania,2011,46
Pennsylvania,2016,6
Pennsylvania,1953,1
Pennsylvania,2007,15
Pennsylvania,2014,38
Pennsylvania,2013,51
Pennsylvania,2006,20
Pennsylvania,2012,35
Pennsylvania,1993,1
Pennsylvania,2008,28
Pennsylvania,2005,10
Pennsylvania,2003,10
Pennsylvania,1982,1
Pennsylvania,1995,3
Pennsylvania,2009,28
Pennsylvania,2010,37
Pennsylvania,2001,9
Pennsylvania,1997,5
Pennsylvania,2015,19
Pennsylvania,1983,1
Pennsylvania,1999,7
Pennsylvania,2004,10
Pennsylvania,2002,4
Pennsylvania,2000,6
Pennsylvania,1994,3
Pennsylvania,1998,5
Pennsylvania,1992,1
Pennsylvania,1996,3
Pennsylvania,1985,1
Pennsylvania,1988,1
Pennsylvania,1981,1
Pennsylvania,1987,1
Pennsylvania,1991,1
Rhode Island,2011,15
Rhode Island,2002,1
Rhode Island,2014,2
Rhode Island,2006,1
Rhode Island,2010,5
Rhode Island,2007,2
Rhode Island,2000,2
Rhode Island,2009,6
Rhode Island,2015,1
Rhode Island,2004,1
Rhode Island,2012,8
Rhode Island,1998,1
Rhode Island,2008,2
Rhode Island,2016,1
Rhode Island,2013,5
Delaware,2013,12
Delaware,1986,1
Delaware,2015,9
Delaware,2014,10
Delaware,2012,8
Delaware,2008,1
Delaware,2010,2
Delaware,2011,5
Delaware,2009,2
Delaware,2016,2
Delaware,2017,1
Delaware,1991,1
Delaware,1999,1
Delaware,2001,1
Delaware,2006,2
Delaware,2000,1
Delaware,1990,1
South Carolina,2000,1
South Carolina,2013,8
South Carolina,2006,5
South Carolina,2007,2
South Carolina,2008,3
South Carolina,2012,5
South Carolina,2014,7
South Carolina,1865,1
South Carolina,2009,1
South Carolina,2015,6
South Carolina,2016,1
South Carolina,2011,2
South Carolina,1998,2
South Carolina,2004,2
South Carolina,2017,1
South Carolina,2005,1
South Carolina,2010,1
South Carolina,1988,1
South Carolina,1999,1
South Dakota,2000,1
South Dakota,2013,1
South Dakota,2014,2
South Dakota,2006,1
Tennessee,2013,25
Tennessee,2008,8
Tennessee,2000,6
Tennessee,2003,3
Tennessee,2012,34
Tennessee,1997,3
Tennessee,2011,23
Tennessee,2009,10
Tennessee,2015,8
Tennessee,2007,7
Tennessee,1996,2
Tennessee,2016,5
Tennessee,2004,2
Tennessee,2010,11
Tennessee,2005,2
Tennessee,2014,24
Tennessee,2001,1
Tennessee,1979,1
Tennessee,2006,3
Tennessee,1985,1
Tennessee,1999,2
Tennessee,1995,1
Tennessee,2017,1
Tennessee,1998,1
Tennessee,2002,1
Texas,2005,30
Texas,1953,1
Texas,2007,25
Texas,2012,84
Texas,2013,102
Texas,1919,1
Texas,2006,31
Texas,2011,66
Texas,2009,38
Texas,1999,16
Texas,2015,65
Texas,2002,17
Texas,1995,5
Texas,2003,20
Texas,2010,54
Texas,2016,20
Texas,2008,31
Texas,2014,86
Texas,1998,7
Texas,2004,19
Texas,1987,3
Texas,1923,1
Texas,2001,15
Texas,2000,14
Texas,1996,4
Texas,1990,1
Texas,2017,3
Texas,1997,2
Texas,1985,1
Texas,1986,1
Texas,1976,1
Texas,1980,1
Texas,1984,1
Texas,1924,1
Texas,1972,1
Texas,1994,1
Texas,1993,1
Texas,1967,1
Utah,2002,7
Utah,1999,6
Utah,2011,17
Utah,2008,8
Utah,2013,20
Utah,1983,1
Utah,2004,5
Utah,2003,4
Utah,2001,2
Utah,2012,14
Utah,1955,1
Utah,2009,6
Utah,2006,7
Utah,2014,19
Utah,2010,15
Utah,2000,4
Utah,1997,1
Utah,1996,1
Utah,2015,8
Utah,1979,1
Utah,2016,3
Utah,2005,4
Utah,1986,1
Utah,1990,1
Utah,2007,6
Utah,1987,1
Utah,1957,1
Utah,1988,1
Vermont,2008,1
Vermont,2013,3
Vermont,2005,1
Vermont,2011,4
Vermont,2014,2
Vermont,1998,2
Vermont,2009,1
Vermont,2012,3
Vermont,1999,1
Vermont,2010,1
Vermont,2004,1
Vermont,2001,1
Virginia,1999,14
Virginia,1993,2
Virginia,2011,26
Virginia,2007,13
Virginia,2012,28
Virginia,2000,10
Virginia,2004,9
Virginia,2010,13
Virginia,2013,39
Virginia,2015,16
Virginia,2009,16
Virginia,1998,6
Virginia,2003,4
Virginia,2006,16
Virginia,2014,23
Virginia,2008,11
Virginia,1991,1
Virginia,2005,7
Virginia,2001,7
Virginia,1992,1
Virginia,1989,2
Virginia,1994,1
Virginia,1996,4
Virginia,2002,4
Virginia,1983,1
Virginia,1982,1
Virginia,1984,2
Virginia,1987,1
Virginia,1990,2
Virginia,2016,7
Virginia,1995,1
Virginia,1997,3
Virginia,1988,1
District of Columbia,2010,10
District of Columbia,2009,7
District of Columbia,2003,2
District of Columbia,1997,1
District of Columbia,2007,5
District of Columbia,2016,5
District of Columbia,2011,15
District of Columbia,2014,16
District of Columbia,2013,20
District of Columbia,2015,8
District of Columbia,2012,22
District of Columbia,2005,1
District of Columbia,1999,3
District of Columbia,2008,5
District of Columbia,1968,1
District of Columbia,2006,2
District of Columbia,2000,2
District of Columbia,2001,1
District of Columbia,1980,1
District of Columbia,1998,1
West Virginia,2016,1
West Virginia,2001,1
West Virginia,2004,1
Wisconsin,2010,3
Wisconsin,2007,5
Wisconsin,2014,12
Wisconsin,2013,9
Wisconsin,2006,2
Wisconsin,2004,3
Wisconsin,2012,21
Wisconsin,2011,10
Wisconsin,2016,2
Wisconsin,2009,3
Wisconsin,2008,3
Wisconsin,1995,1
Wisconsin,2002,1
Wisconsin,2015,4
Wisconsin,1986,1
Wisconsin,2017,1
Wisconsin,2000,1
Wisconsin,2005,3
Wisconsin,1997,3
Wisconsin,1985,1
Wisconsin,1999,2
Florida,1983,1
Florida,1997,4
Florida,2011,54
Florida,2001,5
Florida,2009,15
Florida,2000,7
Florida,2015,29
Florida,2012,52
Florida,1992,1
Florida,2006,16
Florida,2002,8
Florida,2013,46
Florida,2014,48
Florida,1999,11
Florida,2004,9
Florida,1995,3
Florida,2010,21
Florida,2008,9
Florida,2007,12
Florida,1970,1
Florida,2003,8
Florida,1998,2
Florida,2016,21
Florida,1989,2
Florida,1990,1
Florida,1979,1
Florida,2005,4
Florida,1906,1
Florida,1996,5
Florida,1993,1
Florida,1991,1
Florida,1968,1
Florida,1984,1
Florida,1972,1
Wyoming,2016,2
Wyoming,2008,1
Wyoming,2015,2
Arizona,1999,2
Arizona,2013,13
Arizona,2005,3
Arizona,2003,6
Arizona,2001,2
Arizona,1989,1
Arizona,1985,1
Arizona,2016,6
Arizona,2015,14
Arizona,2010,7
Arizona,2011,16
Arizona,2012,20
Arizona,1997,3
Arizona,2006,5
Arizona,2014,21
Arizona,1993,1
Arizona,2002,3
Arizona,2004,1
Arizona,1991,1
Arizona,2007,3
Arizona,2009,4
Arizona,1986,1
Arizona,1995,1
Arizona,1996,1
Arizona,2008,3
Arizona,2017,1
Arizona,1998,2
Georgia,2015,22
Georgia,2008,12
Georgia,1990,2
Georgia,2011,24
Georgia,2010,18
Georgia,2012,30
Georgia,1999,13
Georgia,2000,10
Georgia,2003,7
Georgia,2007,15
Georgia,1998,6
Georgia,2009,13
Georgia,2001,7
Georgia,2006,6
Georgia,2013,32
Georgia,1927,1
Georgia,2017,2
Georgia,2005,9
Georgia,2004,9
Georgia,2014,30
Georgia,1997,3
Georgia,1898,1
Georgia,1994,1
Georgia,1996,2
Georgia,1899,1
Georgia,2016,6
Georgia,1992,1
Georgia,2002,4
Hawaii,2015,3
Hawaii,2006,2
Hawaii,2011,2
Hawaii,2012,5
Hawaii,2004,1
Hawaii,2016,2
Hawaii,2014,2
Hawaii,2013,6
Hawaii,2007,1
Hawaii,1998,1
Hawaii,1993,1
Hawaii,2001,1
Idaho,2007,2
Idaho,2004,2
Idaho,2016,3
Idaho,2008,1
Idaho,2006,3
Idaho,2012,3
Idaho,2013,2
Idaho,2010,1
Idaho,2015,2
Idaho,2011,1
Idaho,1999,1
Idaho,1995,1
Idaho,2014,1
Illinois,2007,11
Illinois,2011,58
Illinois,2012,62
Illinois,2013,67
Illinois,2009,34
Illinois,2001,3
Illinois,2015,42
Illinois,2003,7
Illinois,2014,53
Illinois,2000,6
Illinois,2010,45
Illinois,1996,4
Illinois,1986,1
Illinois,2005,12
Illinois,2016,14
Illinois,1999,14
Illinois,2008,13
Illinois,2002,6
Illinois,1997,6
Illinois,1998,7
Illinois,2006,13
Illinois,2004,12
Illinois,1976,1
Illinois,1995,5
Illinois,1991,2
Illinois,1993,2
Illinois,1983,1
Illinois,1987,1
Illinois,1902,1
Washington,2005,19
Washington,2013,60
Washington,2007,29
Washington,2004,15
Washington,2011,53
Washington,1993,2
Washington,1974,1
Washington,1998,5
Washington,2006,26
Washington,2009,32
Washington,2016,24
Washington,2000,10
Washington,1994,4
Washington,1889,1
Washington,2008,31
Washington,2010,43
Washington,2012,74
Washington,2003,14
Washington,2015,45
Washington,2002,6
Washington,1987,1
Washington,1997,6
Washington,1999,11
Washington,2014,60
Washington,2017,2
Washington,2001,7
Washington,1996,4
Washington,1911,1
Washington,1990,1
Washington,1991,1
Washington,1992,1
Washington,1995,1
Washington,1979,1
Washington,1989,1
Alaska,1979,1
Alaska,2017,1
Alaska,2016,1
Alaska,2014,1
Alaska,2011,1
